crypto,tweet_id,text,favorite_count,retweet_count,created_at,source,reply_to_status,reply_to_user,retweets,favorite
@btc,1670083888243253248,"""Governments are good at cutting off the heads of centrally controlled networks like Napster, but pure P2P networks… https://t.co/ibR8Iw5M9Y",15,5,2023-06-17 15:00:02+00:00,TweetDeck,,,5,15
@btc,1670068788166029312,"ICYMI: From educational platforms to grassroots adoption initiatives and career opportunities, these three booths a… https://t.co/EMUIPtrEDZ",10,1,2023-06-17 14:00:02+00:00,TweetDeck,,,1,10
@btc,1669778114896076801,Freedom writer @willms_ dives into how @RobertKennedyJr's support for #Bitcoin plays into the political landscape… https://t.co/kUTgPf9ILR,37,8,2023-06-16 18:45:00+00:00,TweetDeck,,,8,37
@btc,1669753779091062784,RT @carlabitcoin: BlackRock wants your #Bitcoin https://t.co/U6aWSpnKMS,0,203,2023-06-16 17:08:18+00:00,Twitter for iPhone,,,203,0
@btc,1669714010747404288,RT @jack: Bitcoin and nostr are the only two truly censorship resistant technologies at scale.,0,420,2023-06-16 14:30:16+00:00,Twitter for iPhone,,,420,0
@btc,1669710721041440769,RT @Excellion: Coffee in [REDACTED] 😉 https://t.co/vA9Rmw6ftf,0,10,2023-06-16 14:17:12+00:00,Twitter for iPhone,,,10,0
@btc,1669710697775738882,RT @saylor: #Bitcoin is a Natural Right. https://t.co/Ebr7zh4gMC,0,1081,2023-06-16 14:17:06+00:00,Twitter for iPhone,,,1081,0
@btc,1669469444899319816,RT @DocumentingBTC: How it started:                       How it's going: https://t.co/ZnZcsBfdOt,0,1442,2023-06-15 22:18:27+00:00,Twitter for iPhone,,,1442,0
@btc,1669469371675164673,RT @Excellion: 🇲🇪👀,0,43,2023-06-15 22:18:10+00:00,Twitter for iPhone,,,43,0
@btc,1669411952580280322,"The world's largest asset manager, @BlackRock, is gearing up to submit an application for a #Bitcoin ETF 🚀

#BTC… https://t.co/J7Vjj4jjFE",48,15,2023-06-15 18:30:00+00:00,TweetDeck,,,15,48
@btc,1669096121132806144,"Through his #startsmall initiative @jack pledges $5 million to support #Bitcoin nonprofit @bitcoinbrink 🚀🚀

#BTC 
https://t.co/mX3ON5liRk",133,24,2023-06-14 21:35:00+00:00,TweetDeck,,,24,133
@btc,1669081021793402880,"🚀 @Strike is now offering #Bitcoin Lightning remittances to Mexico 🇲🇽

#BTC #LightningNetwork
https://t.co/vhjgxeigJr",313,53,2023-06-14 20:35:00+00:00,TweetDeck,,,53,313
@btc,1668748832723841025,"Apple's App Store is considering the removal of @damusapp, the popular decentralized social networking app.… https://t.co/YZZJF5sGoE",60,18,2023-06-13 22:35:00+00:00,TweetDeck,,,18,60
@btc,1668663921354391552,RT @paoloardoino: 🍐 &gt;🍎 https://t.co/bRdlRtkSH9,0,86,2023-06-13 16:57:35+00:00,Twitter for iPhone,,,86,0
@btc,1668600055228448768,"RT @WalkerAmerica: Hey @Apple, users on @damusapp are not “receiving content from digital content creators.”

The content is posted on #nos…",0,171,2023-06-13 12:43:48+00:00,Twitter for iPhone,,,171,0
@btc,1668599729586950144,RT @saylor: #Bitcoin is an Instrument of Empowerment. https://t.co/sBUDYbSLBO,0,1384,2023-06-13 12:42:31+00:00,Twitter for iPhone,,,1384,0
@btc,1668599706799185920,RT @Excellion: #Bitcoin is simply information. It cannot be stopped. @tim_cook,0,88,2023-06-13 12:42:25+00:00,Twitter for iPhone,,,88,0
@btc,1668312821946302464,RT @saylor: #Bitcoin will rise above. https://t.co/8qBlDlfxr5,0,1981,2023-06-12 17:42:27+00:00,Twitter for iPhone,,,1981,0
@btc,1668312798298767375,"RT @Excellion: “Well, you see, they were securities, but now they identify as commodities.” https://t.co/u5d4JHO555",0,90,2023-06-12 17:42:21+00:00,Twitter for iPhone,,,90,0
@btc,1668037849772425217,"RT @TerryBitmas: Just a reminder to everyone, @Excellion was clearly stating the difference a while ago. It would have benefitted Brian to…",0,22,2023-06-11 23:29:48+00:00,Twitter for iPhone,,,22,0
@btc,1668035176432017409,RT @jack: This true?,0,413,2023-06-11 23:19:11+00:00,Twitter for iPhone,,,413,0
@btc,1668035145020915712,RT @Excellion: Yeah... https://t.co/xuqTxpm6nd,0,47,2023-06-11 23:19:03+00:00,Twitter for iPhone,,,47,0
@btc,1667909710224191489,"The SEC informed Brian Armstrong that “everything other than #Bitcoin is a security.”

 https://t.co/9B1vkSRz71",1036,247,2023-06-11 15:00:37+00:00,Twitter for iPhone,,,247,1036
@btc,1667894457675464705,"ICYMI: Digital asset trust company @BitGo announces initial agreement to acquire @PrimeTrustCo.

https://t.co/PelrHDA5FZ",15,1,2023-06-11 14:00:01+00:00,TweetDeck,,,1,15
@btc,1667607563758899205,"From educational platforms to grassroots adoption initiatives and career opportunities, these three booths at… https://t.co/NzDmQkfLgD",12,1,2023-06-10 19:00:00+00:00,TweetDeck,,,1,12
@btc,1667592465635835904,"ICYMI: The SEC is requesting a temporary restraining order to freeze @BinanceUS assets.

https://t.co/D08Jhk98vJ",8,2,2023-06-10 18:00:00+00:00,TweetDeck,,,2,8
@btc,1667577364761673728,"ICYMI: The SEC has filed a lawsuit against @coinbase, accusing America’s largest crypto exchange of securities viol… https://t.co/E6f4kbxo61",15,7,2023-06-10 17:00:00+00:00,TweetDeck,,,7,15
